Rank,Url,Category
1,google.com,Computers
2,facebook.com,Computers
3,youtube.com,Arts
4,microsoft.com,Computers
8,linkedin.com,Computers
9,apple.com,Computers
13,wikipedia.org,Computers
14,live.com,Computers
17,yahoo.com,Computers
18,amazon.com,Shopping
24,adobe.com,Computers
26,office.com,Business
28,netflix.com,Shopping
45,mozilla.org,Computers
49,msn.com,Computers
51,nytimes.com,News
52,flickr.com,Computers
55,gravatar.com,Computers
56,nih.gov,Health
57,skype.com,Computers
65,apache.org,Computers
70,cnn.com,Arts
72,ebay.com,Shopping
75,forbes.com,Business
77,w3.org,Computers
81,paypal.com,Business
82,sourceforge.net,Computers
83,archive.org,Reference
84,imdb.com,Arts
96,weebly.com,Kids
102,who.int,Health
111,washingtonpost.com,News
116,cdc.gov,Health
123,reuters.com,Business
129,oracle.com,Computers
134,bloomberg.com,Business
135,sciencedirect.com,Science
140,php.net,Computers
144,opera.com,Computers
145,godaddy.com,Computers
151,digicert.com,Computers
157,mit.edu,Reference
164,ibm.com,Computers
168,gnu.org,Computers
169,alibaba.com,Business
171,wiley.com,Shopping
172,stanford.edu,Reference
174,cnbc.com,Arts
176,usatoday.com,News
179,nature.com,Science
182,booking.com,Recreation
184,un.org,Society
186,walmart.com,Shopping
187,hp.com,Computers
189,eventbrite.com,Business
190,nasa.gov,Kids
195,samsung.com,Business
196,ntp.org,Computers
198,cpanel.net,Computers
200,time.com,News
202,springer.com,Business
203,yelp.com,Home
216,npr.org,Arts
218,livejasmin.com,Adult
224,myspace.com,Computers
225,chase.com,Business
228,huffingtonpost.com,News
231,intuit.com,Computers
232,zillow.com,Business
237,wired.com,Computers
245,healthline.com,Health
247,scribd.com,Arts
252,mysql.com,Computers
254,squarespace.com,Computers
258,foxnews.com,Arts
267,latimes.com,News
268,berkeley.edu,Reference
275,statcounter.com,Computers
277,debian.org,Computers
278,sitemaps.org,Computers
280,livejournal.com,Arts
282,intel.com,Business
284,shutterstock.com,News
296,wikihow.com,Computers
299,android.com,Computers
300,ft.com,Business
301,w3schools.com,Computers
